rank_combined	nct_id	first_level_score	second_level_score	combined_score	rank_second_level	selected_for_top_trials_txt
269	NCT05002140	0.40211785	0.40450216	0.80662001	244	True
270	NCT05546372	0.4105551	0.39405925	0.80461435	249	True
271	NCT01700439	0.80340695	0	0.80340695		True
272	NCT03996408	0.41038	0.39260639	0.80298639	251	True
273	NCT01630226	0.4045396	0.39440914	0.79894874	247	True
274	NCT03264352	0.7935101	0	0.7935101		True
275	NCT02472964	0.61598694	0.17503965	0.79102659	351	True
276	NCT04691089	0.79084486	0	0.79084486		True
277	NCT02474095	0.4015671	0.38737589	0.78894299	256	True
278	NCT05378204	0.40285733	0.38481843	0.78767576	257	True
279	NCT01959867	0.40285733	0.3829889	0.78584623	258	True
280	NCT02027077	0.7848545	0	0.7848545		True
281	NCT05493683	0.428522	0.35400324	0.78252524	274	True
282	NCT04973293	0.41081297	0.37160748	0.78242045	262	True
283	NCT05746195	0.39346957	0.38777088	0.78124045	255	True
284	NCT05322330	0.40951216	0.37148914	0.7810013	263	True
285	NCT06458517	0.3916766	0.38889671	0.78057331	254	True
286	NCT01624051	0.3995052	0.37984041	0.77934561	260	True
287	NCT03703271	0.40072593	0.37820737	0.7789333	261	True
288	NCT01801644	0.3973624	0.38025472	0.77761712	259	True
289	NCT05170828	0.414118	0.36335335	0.77747135	270	True
290	NCT05969184	0.42628178	0.33981142	0.7660932	280	True
291	NCT01948843	0.39410603	0.37102563	0.76513166	265	True
292	NCT04985734	0.4334488	0.33014455	0.76359335	286	True
293	NCT04469556	0.39416197	0.36829944	0.76246141	267	True
294	NCT04150640	0.5589272	0.20205784	0.76098504	337	True
295	NCT03668496	0.38696912	0.36984307	0.75681219	266	True
296	NCT03977077	0.4069866	0.34946755	0.75645415	277	True
297	NCT02916199	0.40472418	0.34845365	0.75317783	278	True
298	NCT02756962	0.48358727	0.26922912	0.75281639	308	True
299	NCT04484636	0.40163788	0.35107591	0.75271379	276	True
300	NCT01496534	0.3940099	0.35502555	0.74903545	273	True
301	NCT03719131	0.41138768	0.33624873	0.74763641	284	True
