nct_id	score
NCT06237413	0.3949411
NCT01918631	0.3948605
NCT04397016	0.3947026
NCT00728533	0.3947026
NCT01618851	0.3947026
NCT03853902	0.3947026
NCT00006044	0.3947026
NCT02016248	0.3947026
NCT01174017	0.3947026
NCT01986348	0.39457345
NCT00368004	0.3943354
NCT01691196	0.39422673
NCT02530294	0.3942151
NCT02530281	0.3942151
NCT01963429	0.39419174
NCT04469556	0.39416197
NCT01948843	0.39410603
NCT01496534	0.3940099
NCT04098783	0.3940067
NCT00706433	0.39397722
NCT05746195	0.39346957
NCT01712646	0.39340532
NCT01486550	0.39304525
NCT01022476	0.3930251
NCT02060552	0.39299196
NCT01526889	0.39296293
NCT02841800	0.39294064
NCT04338763	0.39293933
NCT06131775	0.3927576
NCT04440865	0.3925599
NCT02461719	0.39230353
NCT01268735	0.39230353
NCT02683382	0.39230353
NCT01151046	0.39186284
NCT03207126	0.3918457
NCT01476644	0.39174113
NCT06458517	0.3916766
NCT01646684	0.39163458
NCT05605509	0.39144483
NCT01081301	0.39144483
NCT01227889	0.39124098
NCT01046487	0.39124098
NCT02507804	0.39124098
NCT02691338	0.39117882
NCT04027946	0.39059037
NCT01749527	0.39032218
NCT02119858	0.3895123
NCT04573231	0.3893263
NCT03137693	0.38928783
NCT04141995	0.38919926
NCT03534557	0.38917053
NCT04852081	0.38914052
NCT02169908	0.38895708
NCT04771910	0.38877612
NCT01439581	0.38851768
NCT01103024	0.3883977
NCT03856229	0.38794637
NCT00057694	0.3879121
NCT02444936	0.38754624
NCT04346225	0.38698673
NCT03668496	0.38696912
NCT03718650	0.38638008
NCT03179306	0.38561565
NCT05633160	0.38550964
NCT04040699	0.3852784
NCT04260360	0.3846056
NCT00621218	0.38456255
NCT04453501	0.38456133
NCT01375569	0.38435972
NCT02361541	0.38251218
NCT00001371	0.381562
NCT01307618	0.37953782
NCT04448145	0.37945902
NCT00175006	0.37791076
NCT03754361	0.3728772
