nct_id	score
NCT00037921	0.4121117
NCT00005575	0.41210404
NCT00001657	0.41207278
NCT00004467	0.4120708
NCT00005288	0.41202474
NCT00005652	0.41190115
NCT00015470	0.41185433
NCT00008164	0.41184175
NCT00006447	0.41175318
NCT00017862	0.41175103
NCT00005730	0.41166687
NCT00001301	0.41166016
NCT00003685	0.41165662
NCT00001220	0.4116397
NCT00002104	0.41155088
NCT00002085	0.41155088
NCT00004796	0.41152418
NCT00004496	0.41149026
NCT00040326	0.41146892
NCT00036309	0.41146445
NCT00040053	0.41140157
NCT00005950	0.41139948
NCT00018408	0.411368
NCT00004899	0.41135085
NCT00006239	0.41135085
NCT00004896	0.41135085
NCT00001399	0.41131842
NCT00001208	0.4111718
NCT00005768	0.4111582
NCT00004829	0.41114518
NCT00045396	0.41108072
NCT00001482	0.41099042
NCT00006259	0.41095752
NCT00002622	0.41095752
NCT00002708	0.41095752
NCT00002872	0.41095752
NCT00001954	0.41094002
NCT00031681	0.41077912
NCT00001756	0.41073683
NCT00001462	0.41072643
NCT00005357	0.41071236
NCT00002593	0.41069904
NCT00005640	0.41069904
NCT00002523	0.41069904
NCT00016952	0.41069904
NCT00003571	0.41069904
NCT00002575	0.41069904
NCT00001637	0.41069597
NCT00011336	0.41065028
NCT00003954	0.4106199
NCT00004648	0.41061592
NCT00001541	0.41059864
NCT00001256	0.41059864
NCT00004478	0.41056857
NCT00002274	0.41056764
NCT00026286	0.41050404
NCT00001639	0.41049618
NCT00003694	0.41047502
NCT00027235	0.4104532
NCT00003771	0.4103278
NCT00002331	0.41026288
NCT00001940	0.41022503
NCT00001280	0.41022503
NCT00040690	0.41019195
NCT00002471	0.41019195
NCT00024115	0.41019195
NCT00005579	0.41019195
NCT00003658	0.41019195
NCT00002681	0.41019195
NCT00002766	0.41019195
NCT00018889	0.4101561
NCT00001252	0.4101561
NCT00004492	0.41010755
NCT00004404	0.41010755
NCT00001197	0.41010755
NCT00043186	0.4100469
NCT00022841	0.4100417
NCT00011323	0.4100417
NCT00035971	0.4100417
NCT00006196	0.4100417
NCT00001720	0.4100417
NCT00000427	0.4100417
NCT00021827	0.4100417
NCT00038415	0.4100172
NCT00005796	0.40999833
NCT00000158	0.40993
NCT00001325	0.40991086
NCT00005850	0.40983313
NCT00003669	0.40972477
NCT00000562	0.40968627
NCT00001952	0.40956587
NCT00005570	0.40955263
NCT00001748	0.40953416
NCT00030940	0.409515
NCT00042848	0.40943462
NCT00003266	0.40943462
NCT00036647	0.40942383
NCT00011648	0.4093933
NCT00024908	0.40937102
NCT00022945	0.40933955
NCT00004649	0.40925643
NCT00004654	0.40925643
NCT00003338	0.40925628
NCT00003280	0.40925628
NCT00005589	0.40925628
NCT00006669	0.40925628
NCT00005595	0.40925628
NCT00003863	0.40925628
NCT00003936	0.40925628
NCT00002495	0.40925628
NCT00002725	0.40925628
NCT00006478	0.40925628
NCT00002676	0.40925628
NCT00003615	0.40925628
NCT00003039	0.40925628
NCT00003337	0.40925628
NCT00005969	0.40925628
NCT00004197	0.40925628
NCT00004260	0.40925628
NCT00003595	0.40925628
NCT00002682	0.40925628
NCT00001483	0.4091832
NCT00002608	0.40914726
NCT00000566	0.40913534
NCT00003825	0.4090994
NCT00006329	0.40904063
NCT00004843	0.40904063
NCT00005774	0.4089617
NCT00001661	0.408934
NCT00001167	0.4088509
NCT00041509	0.40879172
NCT00005016	0.4087735
NCT00001946	0.40876156
NCT00021866	0.40870792
NCT00041600	0.40862882
NCT00040742	0.4085913
NCT00005317	0.408578
NCT00001489	0.4084195
NCT00004982	0.40838245
NCT00017914	0.4083646
NCT00003590	0.40835178
NCT00003494	0.40833277
NCT00040248	0.40830487
NCT00005007	0.40830487
NCT00004287	0.40823537
NCT00004428	0.40823537
NCT00004533	0.40823537
NCT00043316	0.40823537
NCT00004441	0.40823537
NCT00004810	0.40817124
NCT00004787	0.40816474
NCT00034242	0.4081596
NCT00027274	0.40809986
NCT00000582	0.408054
NCT00001144	0.40804636
NCT00000574	0.40795997
NCT00001765	0.40795866
NCT00040456	0.40794882
NCT00006058	0.40792042
NCT00001641	0.4078924
NCT00006173	0.40787184
NCT00000424	0.40783054
NCT00010946	0.40783054
NCT00032240	0.40783054
